filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
tr000_1st_clip.png,6637643,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""rect"",""x"":1648,""y"":430,""width"":331,""height"":582}","{""name"":""left sleeve"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_1st_clip.png,6637643,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""rect"",""x"":1707,""y"":1118,""width"":175,""height"":437}","{""name"":""hem"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_1st_clip.png,6637643,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""rect"",""x"":1519,""y"":1863,""width"":410,""height"":463}","{""name"":""right sleeve"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_1st_clip.png,6637643,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""rect"",""x"":1902,""y"":1112,""width"":427,""height"":579}","{""name"":""neck"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_1st_push.png,6503158,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""rect"",""x"":1605,""y"":424,""width"":404,""height"":596}","{""name"":""left sleeve"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_1st_push.png,6503158,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""rect"",""x"":599,""y"":1118,""width"":281,""height"":437}","{""name"":""hem"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_1st_push.png,6503158,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""rect"",""x"":1515,""y"":1847,""width"":380,""height"":457}","{""name"":""right sleeve"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_1st_push.png,6503158,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""rect"",""x"":1850,""y"":1141,""width"":374,""height"":503}","{""name"":""neck"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_2nd_clip.png,6660650,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""rect"",""x"":1648,""y"":430,""width"":331,""height"":582}","{""name"":""left sleeve"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
tr000_2nd_clip.png,6660650,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""rect"",""x"":1707,""y"":1118,""width"":175,""height"":437}","{""name"":""hem"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
